Nationality,Confederation,Continent
Afghanistan,AFC,Asia
Albania,UEFA,Europe
Algeria,CAF,Africa
Andorra,UEFA,Europe
Angola,CAF,Africa
Antigua & Barbuda,CONCACAF,North America
Argentina,CONMEBOL,South America
Armenia,UEFA,Europe
Aruba,CONCACAF,North America
Australia,AFC,Asia
Austria,UEFA,Europe
Azerbaijan,UEFA,Europe
Barbados,CONCACAF,North America
Belarus,UEFA,Europe
Belgium,UEFA,Europe
Belize,CONCACAF,North America
Benin,CAF,Africa
Bermuda,CONCACAF,North America
Bolivia,CONMEBOL,South America
Bosnia Herzegovina,UEFA,Europe
Brazil,CONMEBOL,South America
Bulgaria,UEFA,Europe
Burkina Faso,CAF,Africa
Burundi,CAF,Africa
Cameroon,CAF,Africa
Canada,CONCACAF,North America
Cape Verde,CAF,Africa
Central African Republic,CAF,Africa
Chad,CAF,Africa
Chile,CONMEBOL,South America
China PR,AFC,Asia
Chinese Taipei,AFC,Asia
Colombia,CONMEBOL,South America
Comoros,CAF,Africa
Congo,CAF,Africa
Costa Rica,CONCACAF,North America
Croatia,UEFA,Europe
Cuba,CONCACAF,North America
Curacao,CONCACAF,North America
Cyprus,UEFA,Europe
Czech Republic,UEFA,Europe
DR Congo,CAF,Africa
Denmark,UEFA,Europe
Dominican Republic,CONCACAF,North America
Ecuador,CONMEBOL,South America
Egypt,CAF,Africa
El Salvador,CONCACAF,North America
England,UEFA,Europe
Equatorial Guinea,CAF,Africa
Eritrea,CAF,Africa
Estonia,UEFA,Europe
Ethiopia,CAF,Africa
Faroe Islands,UEFA,Europe
Finland,UEFA,Europe
France,UEFA,Europe
Gabon,CAF,Africa
Gambia,CAF,Africa
Georgia,UEFA,Europe
Germany,UEFA,Europe
Ghana,CAF,Africa
Greece,UEFA,Europe
Grenada,CONCACAF,North America
Guam,AFC,Asia
Guatemala,CONCACAF,North America
Guinea,CAF,Africa
Guinea Bissau,CAF,Africa
Guyana,CONCACAF,North America
Haiti,CONCACAF,North America
Honduras,CONCACAF,North America
Hong Kong,AFC,Asia
Hungary,UEFA,Europe
Iceland,UEFA,Europe
India,AFC,Asia
Indonesia,AFC,Asia
Iran,AFC,Asia
Iraq,AFC,Asia
Israel,UEFA,Europe
Italy,UEFA,Europe
Ivory Coast,CAF,Africa
Jamaica,CONCACAF,North America
Japan,AFC,Asia
Jordan,AFC,Asia
Kazakhstan,UEFA,Europe
Kenya,CAF,Africa
Korea DPR,AFC,Asia
Korea Republic,AFC,Asia
Kosovo,UEFA,Europe
Latvia,UEFA,Europe
Lebanon,AFC,Asia
Liberia,CAF,Africa
Libya,CAF,Africa
Liechtenstein,UEFA,Europe
Lithuania,UEFA,Europe
Luxembourg,UEFA,Europe
Macau,AFC,Asia
Madagascar,CAF,Africa
Malawi,CAF,Africa
Malaysia,AFC,Asia
Mali,CAF,Africa
Malta,UEFA,Europe
Mauritania,CAF,Africa
Mexico,CONCACAF,North America
Moldova,UEFA,Europe
Montenegro,UEFA,Europe
Montserrat,CONCACAF,North America
Morocco,CAF,Africa
Mozambique,CAF,Africa
Namibia,CAF,Africa
Netherlands,UEFA,Europe
New Caledonia,OFC,Oceania
New Zealand,OFC,Oceania
Nicaragua,CONCACAF,North America
Niger,CAF,Africa
Nigeria,CAF,Africa
North Macedonia,UEFA,Europe
Northern Ireland,UEFA,Europe
Norway,UEFA,Europe
Palestine,AFC,Asia
Panama,CONCACAF,North America
Papua New Guinea,OFC,Oceania
Paraguay,CONMEBOL,South America
Peru,CONMEBOL,South America
Philippines,AFC,Asia
Poland,UEFA,Europe
Portugal,UEFA,Europe
Puerto Rico,CONCACAF,North America
Republic of Ireland,UEFA,Europe
Romania,UEFA,Europe
Russia,UEFA,Europe
Rwanda,CAF,Africa
Saint Kitts and Nevis,CONCACAF,North America
Saint Lucia,CONCACAF,North America
Saudi Arabia,AFC,Asia
Scotland,UEFA,Europe
Senegal,CAF,Africa
Serbia,UEFA,Europe
Sierra Leone,CAF,Africa
Singapore,AFC,Asia
Slovakia,UEFA,Europe
Slovenia,UEFA,Europe
South Africa,CAF,Africa
South Sudan,CAF,Africa
Spain,UEFA,Europe
Sudan,CAF,Africa
Sweden,UEFA,Europe
Switzerland,UEFA,Europe
Syria,AFC,Asia
São Tomé & Príncipe,CAF,Africa
Tanzania,CAF,Africa
Thailand,AFC,Asia
Togo,CAF,Africa
Trinidad & Tobago,CONCACAF,North America
Tunisia,CAF,Africa
Turkey,UEFA,Europe
Uganda,CAF,Africa
Ukraine,UEFA,Europe
United Arab Emirates,AFC,Asia
United States,CONCACAF,North America
Uruguay,CONMEBOL,South America
Uzbekistan,AFC,Asia
Venezuela,CONMEBOL,South America
Wales,UEFA,Europe
Zambia,CAF,Africa
Zimbabwe,CAF,Africa
